Folder,Name,Num,threshold,num_regions,est_len,MeanInt-2,avgWidth-2,stdInt-2,perct95-2,medianInt-2,sumInt-2,MeanInt-9,avgWidth-9,stdInt-9,perct95-9,medianInt-9,sumInt-9,aspect_ratio,intRatio2-9,tipWidthRatio,BodMeanInt,BodAvgWidth,BodStdInt,BodPerct95,BodMedianInt,BodSumInt,BKMeanInt
BC221_18,221_18_1_Snapshot32,32,12.0,1,1046,7900.99034200659,92,2472.7482675287474,11256.0,8369.0,69536616,4407.73201072386,103,1692.6399922634553,7696.0,3789.0,41102101,10.155339805825243,0.7741156140902525,0.5728155339805825,6071.5967120774085,106,2150.175402062835,9658.0,5950.0,569133261,1.0
BC221_18,221_18_1_Snapshot33,33,7.0,1,1585,2423.934412895593,89,782.7465737202718,3739.0,2265.0,32781289,3005.383913764511,58,1165.8892065700852,4903.0,2939.0,21746958,27.32758620689655,2.0040095862639573,0.896551724137931,3376.4580184646948,99,1671.4232372994431,7180.0,3110.5,394978059,1.0
BC221_18,221_18_1_Snapshot34,34,10.0,1,1054,4597.241514726507,100,840.7124793572023,5780.0,4674.0,49167498,3155.729601782233,44,936.3066888911469,4795.0,3112.0,11332225,10.134615384615385,1.116149890783711,2.3636363636363638,5069.484463455973,105,1643.0857027000998,8203.0,4865.0,439681457,1.0
BC221_18,221_18_1_Snapshot35,35,9.0,1,2017,5829.888,107,2904.1074543598324,10264.0,6037.5,118055232,2792.1240190582957,61,919.244157948847,4430.0,2769.5,19924597,22.164835164835164,1.3704454902918684,1.4918032786885247,3972.563091654935,111,1877.1370440248413,8036.0,3706.0,654646617,1.0
BC221_18,221_18_1_Snapshot36,36,10.0,1,1175,5388.695055520637,87,2016.0604817958247,8615.0,5575.0,51440483,4550.531070916905,105,1321.0764053760056,6456.65,4677.0,50820331,11.19047619047619,0.9724564837716011,0.6095238095238096,5273.302750745345,110,1640.3319219007506,8012.0,5400.0,562461018,1.0
BC221_18,221_18_1_Snapshot37,37,8.0,1,1572,4243.486446120529,91,1479.088387694679,7316.0,4042.0,56824527,2799.209476309227,69,889.8245493850204,4164.149999999998,2821.0,22449660,15.72,0.5385413789414705,1.4492753623188406,3790.709034317009,111,1677.5382844433548,7105.0,3648.0,481059930,1.0
BC221_18,221_18_1_Snapshot38,38,8.0,1,1381,2645.035042514816,89,1186.5223840429553,4825.0,2156.0,30796143,6536.21709849406,92,2670.6721993465935,10289.5,6764.0,69878697,15.01086956521739,1.665073188452831,0.6413043478260869,3465.1302186517387,100,1904.357619354492,7655.0,2989.0,381295999,1.0
BC221_18,221_18_1_Snapshot39,39,9.0,1,1490,3631.713091051192,87,1387.0708183928414,5848.0,3143.0,46467769,5831.6736694677875,91,2106.209436007329,8676.400000000001,6237.5,66621040,15.204081632653061,0.6478559526954928,1.0769230769230769,4024.350002715304,99,1900.0336930879346,7705.0,3634.0,518734691,1.0
BC221_18,221_18_1_Snapshot4,4,10.0,1,1520,3481.391835016835,88,1366.0121144727066,5606.550000000001,3321.5,33087148,6268.700533721494,81,2566.627565626795,10212.599999999999,6804.0,64598959,18.765432098765434,2.1523602278077254,0.8641975308641975,4202.295824572988,95,2181.7913621993007,8882.0,3749.0,483692654,1.0
BC221_18,221_18_1_Snapshot40,40,4.0,1,890,3111.359424652952,80,1191.5816636359002,5655.0,3109.0,18602818,1601.901048372264,68,639.8337293160645,2904.2,1440.0,8709536,13.088235294117647,0.4937801969871882,0.7352941176470589,2075.154349486254,87,971.7803257954963,3738.0,1848.0,119562093,1.0
BC221_18,221_18_1_Snapshot41,41,9.0,1,1662,3136.304499021952,86,1204.2488531791485,4845.9,2960.0,43290411,3461.9564261168384,56,1282.7147864026344,5570.499999999996,3425.0,25185733,20.775,1.8306607243096356,1.4285714285714286,4145.1485817903285,100,1974.1765629510282,8383.0,3980.0,530342745,1.0
BC221_18,221_18_1_Snapshot42,42,8.0,1,1684,2941.193036859539,89,1016.4785094488734,4765.0,2913.0,41732588,3282.12027008018,54,1182.608348228097,5258.0,3207.0,23332593,25.515151515151516,2.0256499317908334,1.2222222222222223,3721.889753384422,93,1773.2860348565084,7346.0,3437.0,476450273,1.0
BC221_18,221_18_1_Snapshot43,43,9.0,1,1654,2948.952342757837,93,1350.5452130045553,5388.0,2428.0,44119276,3337.891619951128,55,1234.2351756941298,5354.0,3249.0,23221712,22.053333333333335,2.0326944593711653,1.3636363636363635,3870.995836450328,94,1984.5623326799953,7796.1999999999825,3520.0,512283718,1.0
BC221_18,221_18_1_Snapshot44,44,10.0,1,996,5417.154988205911,78,1916.7268649515502,8278.0,5390.0,39041436,4346.220291869354,102,1306.238982528485,6260.700000000001,4336.5,37525266,9.764705882352942,0.8181073347191351,0.49019607843137253,4918.235763125179,104,1901.2166368002222,7946.0,5038.0,411439931,1.0
BC221_18,221_18_1_Snapshot45,45,9.0,2,1967,4198.4881613720945,98,1805.041333774986,7526.0,3910.0,77844169,3810.127049180328,75,1582.4993300024366,6759.0,3693.0,35327498,20.705263157894738,1.8240766740304486,1.2666666666666666,4333.569634744034,108,1845.2775379335935,7578.0,4001.5,726817632,1.0
BC221_18,221_18_1_Snapshot46,46,10.0,1,1967,3684.010145171235,91,629.814239073107,4528.0,3739.0,65726425,3946.442518248175,70,1790.5268615553698,8067.0,3616.0,34602408,23.698795180722893,1.5391822906889099,1.1857142857142857,4672.407677396285,103,2050.716730294414,9144.0,4239.0,744795801,1.0
BC221_18,221_18_1_Snapshot47,47,9.0,1,1672,3012.5211017009465,89,899.3715223341432,4266.0,3188.0,42328934,3788.3874788494077,66,1607.1966131950078,6547.9,3564.0,29106181,22.293333333333333,1.5256688086614891,1.1363636363636365,4189.86789803494,96,2051.2754592098345,8211.0,3872.0,560977223,1.0
BC221_18,221_18_1_Snapshot48,48,9.0,1,1634,3056.875,88,1315.71914814679,5669.299999999999,2610.5,42453880,3216.904768663071,57,1153.7092071171867,5182.5,3148.0,22666311,22.383561643835616,2.1527601306092055,1.280701754385965,3876.136832460118,97,1922.9939191697222,7780.0,3406.0,494940036,1.0
